Period: 2025-09-01 -> 2026-03-23

metric                        current oversold_neutral        delta
total_trades                       69           69            0
skipped_days                       58           58            0
win_rate_net_1d                0.4348       0.4348       0.0000
win_rate_net_3d                0.5507       0.5507       0.0000
avg_return_1d_net             -0.0028      -0.0028       0.0000
avg_return_3d_net              0.0046       0.0046       0.0000
avg_return_5d_net              0.0045       0.0045       0.0000
max_drawdown_proxy             0.2156       0.2156       0.0000

adaptive_strategy_counts {'recommend-oversold': 1, 'recommend-pullback': 68}
                         {'recommend-oversold': 1, 'recommend-pullback': 68}
                         {'recommend-oversold': 0, 'recommend-pullback': 0}
