trade_date,open,high,low,close,volume,turnover_rate
2024-05-27,3.69,3.72,3.59,3.68,39983.0,
2024-05-28,3.68,3.69,3.63,3.65,25227.0,
2024-05-29,3.65,3.67,3.59,3.66,18977.0,
2024-05-30,3.62,3.67,3.62,3.64,16730.0,
2024-05-31,3.65,3.66,3.62,3.64,15917.0,
2024-06-03,3.66,3.66,3.57,3.62,33312.0,
2024-06-04,3.62,3.65,3.59,3.63,19933.0,
2024-06-05,3.62,3.68,3.59,3.66,55246.0,
2024-06-06,3.66,3.69,3.56,3.58,92780.0,
2024-06-07,3.58,3.64,3.57,3.63,34876.0,
2024-06-11,3.62,3.64,3.59,3.63,23396.0,
2024-06-12,3.63,3.64,3.61,3.63,13213.0,
2024-06-13,3.63,3.65,3.59,3.62,28646.0,
2024-06-14,3.62,3.65,3.59,3.63,20114.0,
2024-06-17,3.63,3.64,3.6,3.63,13270.0,
2024-06-18,3.62,3.62,3.59,3.62,12433.0,
2024-06-19,3.61,3.64,3.6,3.61,15510.0,
2024-06-20,3.61,3.61,3.57,3.58,25759.0,
2024-06-21,3.59,3.6,3.49,3.49,18651.0,
2024-06-24,3.45,3.48,3.36,3.37,24533.0,
2024-06-25,3.47,3.47,3.37,3.38,16995.0,
2024-06-26,3.35,3.49,3.35,3.49,21465.0,
2024-06-27,3.47,3.55,3.46,3.54,41811.0,
2024-06-28,3.54,3.55,3.47,3.55,27499.0,
2024-07-01,3.52,3.55,3.5,3.55,30210.0,
2024-07-02,3.55,3.55,3.51,3.54,14839.0,
2024-07-03,3.53,3.54,3.51,3.51,9685.0,
2024-07-04,3.52,3.53,3.4,3.46,23505.0,
2024-07-05,3.46,3.47,3.39,3.47,24670.0,
2024-07-08,3.46,3.46,3.38,3.4,16153.0,
2024-07-09,3.39,3.4,3.29,3.36,50933.0,
2024-07-10,3.21,3.29,3.16,3.24,38907.0,
2024-07-11,3.27,3.31,3.25,3.3,31906.0,
2024-07-12,3.33,3.35,3.27,3.32,34068.0,
2024-07-15,3.31,3.32,3.25,3.28,16039.0,
2024-07-16,3.29,3.41,3.29,3.36,31001.0,
2024-07-17,3.36,3.38,3.29,3.3,10935.0,
2024-07-18,3.26,3.29,3.24,3.28,14957.0,
2024-07-19,3.26,3.27,3.24,3.26,9934.0,
2024-07-22,3.26,3.28,3.22,3.24,10671.0,
2024-07-23,3.24,3.26,3.18,3.2,15717.0,
2024-07-24,3.2,3.21,3.14,3.21,10976.0,
2024-07-25,3.18,3.23,3.15,3.22,13113.0,
2024-07-26,3.22,3.26,3.21,3.23,8969.0,
2024-07-29,3.22,3.23,3.16,3.2,9305.0,
2024-07-30,3.21,3.26,3.19,3.2,25702.0,
2024-07-31,3.21,3.29,3.19,3.28,24233.0,
2024-08-01,3.29,3.31,3.27,3.3,18368.0,
2024-08-02,3.3,3.31,3.25,3.26,19828.0,
2024-08-05,3.25,3.28,3.2,3.21,15424.0,
2024-08-06,3.22,3.24,3.19,3.22,12631.0,
2024-08-07,3.23,3.23,3.19,3.2,10384.0,
2024-08-08,3.2,3.21,3.16,3.2,14124.0,
2024-08-09,3.21,3.23,3.19,3.2,15479.0,
2024-08-12,3.22,3.22,3.19,3.19,14655.0,
2024-08-13,3.16,3.21,3.16,3.2,12254.0,
2024-08-14,3.21,3.23,3.18,3.18,22322.0,
2024-08-15,3.18,3.22,3.17,3.21,10692.0,
2024-08-16,3.2,3.21,3.17,3.19,10702.0,
2024-08-19,3.18,3.23,3.18,3.23,16841.0,
2024-08-20,3.23,3.24,3.17,3.18,16150.0,
2024-08-21,3.17,3.22,3.17,3.18,11072.0,
2024-08-22,3.2,3.2,3.14,3.15,12900.0,
