trade_date,open,high,low,close,volume,turnover_rate
2024-05-27,12.08,12.14,11.24,11.69,490904.0,
2024-05-28,11.6,11.88,11.4,11.5,301338.0,
2024-05-29,11.61,12.65,11.61,12.18,813339.0,
2024-05-30,12.12,12.36,11.88,11.89,431193.0,
2024-05-31,11.94,12.07,11.65,11.65,303795.0,
2024-06-03,11.59,11.62,11.32,11.51,258952.0,
2024-06-04,11.47,11.55,11.31,11.52,224119.0,
2024-06-05,11.42,11.6,11.21,11.21,202614.0,
2024-06-06,11.25,11.44,10.52,10.66,379188.0,
2024-06-07,10.72,10.79,10.3,10.43,280495.0,
2024-06-11,10.35,10.55,10.16,10.53,230306.0,
2024-06-12,10.54,10.64,10.4,10.61,167675.0,
2024-06-13,10.79,10.84,10.47,10.5,205938.0,
2024-06-14,10.49,10.69,10.31,10.46,205179.0,
2024-06-17,10.33,10.39,10.12,10.22,199064.0,
2024-06-18,10.2,10.47,10.14,10.28,182219.0,
2024-06-19,10.25,10.3,9.9,9.92,295658.0,
2024-06-20,9.89,9.91,9.37,9.4,348450.0,
2024-06-21,9.58,9.69,9.3,9.3,252101.0,
2024-06-24,9.24,10.2,9.05,9.68,531848.0,
2024-06-25,9.68,9.76,9.22,9.29,309107.0,
2024-06-26,9.29,9.52,9.08,9.44,268301.0,
2024-06-27,9.43,9.45,9.17,9.17,181729.0,
2024-06-28,9.18,9.34,9.03,9.05,241832.0,
2024-07-01,9.05,9.14,8.88,9.05,207722.0,
2024-07-02,9.04,9.13,8.88,8.91,164546.0,
2024-07-03,8.96,9.05,8.8,8.87,159686.0,
2024-07-04,8.93,8.97,8.55,8.59,219682.0,
2024-07-05,8.54,8.68,8.43,8.45,272503.0,
2024-07-08,8.35,8.44,8.14,8.39,335087.0,
2024-07-09,8.39,8.54,8.2,8.47,288953.0,
2024-07-10,8.1,8.63,7.92,8.23,403497.0,
2024-07-11,8.33,8.74,8.31,8.6,425536.0,
2024-07-12,8.64,8.85,8.55,8.67,330915.0,
2024-07-15,8.69,8.86,8.52,8.58,212364.0,
2024-07-16,8.58,8.79,8.49,8.75,197861.0,
2024-07-17,8.97,8.97,8.66,8.67,259517.0,
2024-07-18,8.6,8.73,8.48,8.69,223211.0,
2024-07-19,8.61,9.14,8.57,8.94,367771.0,
2024-07-22,8.9,9.14,8.82,9.05,331428.0,
2024-07-23,9.1,9.96,8.95,9.96,1051443.0,
2024-07-24,9.65,10.02,9.48,9.58,856106.0,
2024-07-25,9.65,10.02,9.54,9.55,811421.0,
2024-07-26,9.47,9.49,9.21,9.36,527675.0,
2024-07-29,9.34,9.35,8.98,9.02,414825.0,
2024-07-30,8.99,9.08,8.68,8.92,373253.0,
2024-07-31,8.92,9.46,8.74,9.43,562435.0,
2024-08-01,9.37,9.44,9.11,9.15,377982.0,
2024-08-02,9.12,9.36,8.93,8.96,329568.0,
2024-08-05,8.87,9.67,8.85,9.1,640308.0,
2024-08-06,9.28,9.74,9.2,9.48,734530.0,
2024-08-07,9.38,9.44,9.16,9.26,397025.0,
2024-08-08,9.17,9.35,9.07,9.1,322298.0,
2024-08-09,9.09,9.18,8.91,8.91,224568.0,
2024-08-12,9.08,9.2,8.87,8.91,221013.0,
2024-08-13,8.81,8.92,8.61,8.83,250268.0,
2024-08-14,8.86,9.13,8.67,8.67,192361.0,
2024-08-15,8.52,8.91,8.46,8.75,256412.0,
2024-08-16,8.75,8.78,8.48,8.49,180414.0,
2024-08-19,8.53,8.53,8.28,8.31,177744.0,
2024-08-20,8.31,8.5,8.22,8.31,176992.0,
2024-08-21,8.28,8.38,8.17,8.23,109445.0,
2024-08-22,8.23,8.3,7.96,7.97,168652.0,
2024-08-23,7.89,7.97,7.69,7.69,235799.0,
2024-08-26,7.7,7.91,7.66,7.77,244030.0,
2024-08-27,7.77,7.97,7.51,7.71,321894.0,
2024-08-28,7.65,7.74,7.47,7.65,178293.0,
2024-08-29,7.59,8.37,7.59,8.06,479757.0,
2024-08-30,8.0,8.34,7.9,8.12,515127.0,
2024-09-02,8.05,8.25,7.8,7.84,298697.0,
2024-09-03,7.85,8.17,7.78,8.07,272226.0,
2024-09-04,8.07,8.4,8.02,8.13,351703.0,
2024-09-05,8.14,8.51,8.08,8.35,347789.0,
2024-09-06,8.3,8.3,8.04,8.06,223778.0,
2024-09-09,8.0,8.12,7.93,7.98,167243.0,
2024-09-10,7.98,8.07,7.77,7.83,198531.0,
2024-09-11,7.8,8.09,7.77,7.92,232452.0,
2024-09-12,7.91,8.34,7.88,7.99,337452.0,
2024-09-13,7.98,8.05,7.63,7.63,227450.0,
2024-09-18,7.63,7.66,7.36,7.39,195316.0,
2024-09-19,7.45,8.13,7.36,7.67,371531.0,
2024-09-20,7.69,7.69,7.44,7.54,231562.0,
2024-09-23,7.53,7.59,7.43,7.45,149940.0,
2024-09-24,7.55,8.03,7.48,7.99,487842.0,
2024-09-25,8.02,8.34,8.02,8.11,445991.0,
2024-09-26,8.14,8.58,8.06,8.58,411603.0,
2024-09-27,8.94,9.39,8.83,9.36,355893.0,
2024-09-30,10.0,10.3,9.6,10.3,944276.0,
2024-10-08,11.33,11.33,10.35,11.02,1021473.0,
2024-10-09,10.8,10.8,9.92,9.92,702630.0,
2024-10-10,9.81,10.08,9.42,9.57,468335.0,
2024-10-11,9.33,9.43,8.86,9.0,427494.0,
2024-10-14,9.05,9.48,8.97,9.42,474064.0,
2024-10-15,9.34,9.58,9.16,9.19,358296.0,
2024-10-16,9.0,9.14,8.84,8.92,322225.0,
2024-10-17,8.98,9.11,8.83,8.83,266744.0,
2024-10-18,8.83,9.3,8.77,9.06,469168.0,
2024-10-21,9.22,9.83,9.18,9.47,676600.0,
2024-10-22,9.33,9.92,9.11,9.85,725538.0,
2024-10-23,9.77,10.84,9.65,10.59,1193704.0,
2024-10-24,10.6,10.6,10.03,10.08,704118.0,
2024-10-25,10.01,11.09,10.01,11.09,862266.0,
2024-10-28,11.75,12.2,11.35,12.2,1880603.0,
2024-10-29,12.6,13.24,11.71,11.77,1320925.0,
2024-10-30,11.48,12.75,11.48,12.18,1268862.0,
2024-10-31,12.65,13.21,12.23,12.79,1400034.0,
2024-11-01,12.75,13.36,12.23,12.42,1132508.0,
2024-11-04,12.11,12.73,12.01,12.18,556762.0,
