trade_date,open,high,low,close,volume,turnover_rate
2024-05-27,4.27,4.27,4.2,4.26,63775.0,
2024-05-28,4.27,4.29,4.23,4.23,45982.0,
2024-05-29,4.26,4.29,4.22,4.28,65354.0,
2024-05-30,4.35,4.41,4.28,4.31,133493.0,
2024-05-31,4.29,4.36,4.28,4.33,77928.0,
2024-06-03,4.34,4.34,4.08,4.13,162531.0,
2024-06-04,4.11,4.19,4.04,4.14,113583.0,
2024-06-05,4.13,4.17,4.1,4.13,57775.0,
2024-06-06,4.13,4.15,3.95,3.98,121428.0,
2024-06-07,4.01,4.09,3.97,4.07,69382.0,
2024-06-11,4.04,4.05,3.97,4.03,60852.0,
2024-06-12,4.02,4.07,4.0,4.02,63594.0,
2024-06-13,4.02,4.05,3.97,3.99,53093.0,
2024-06-14,3.95,4.04,3.94,4.04,61931.0,
2024-06-17,4.04,4.09,4.02,4.05,45660.0,
2024-06-18,4.06,4.11,4.02,4.11,45925.0,
2024-06-19,4.12,4.13,4.03,4.04,39556.0,
2024-06-20,4.04,4.06,3.93,3.95,62841.0,
2024-06-21,3.99,3.99,3.92,3.96,28880.0,
2024-06-24,3.97,3.97,3.82,3.84,52499.0,
2024-06-25,3.89,3.9,3.82,3.87,38364.0,
2024-06-26,3.86,3.93,3.83,3.92,53462.0,
2024-06-27,3.95,3.96,3.82,3.82,46131.0,
2024-06-28,3.84,3.89,3.6,3.73,152766.0,
2024-07-01,3.67,3.79,3.66,3.75,75838.0,
2024-07-02,3.72,3.81,3.71,3.77,49002.0,
2024-07-03,3.8,3.84,3.75,3.76,38756.0,
2024-07-04,3.79,3.79,3.65,3.67,45659.0,
2024-07-05,3.65,3.71,3.64,3.69,36831.0,
2024-07-08,3.7,3.7,3.59,3.62,42360.0,
2024-07-09,3.62,3.69,3.54,3.66,56663.0,
2024-07-10,4.03,4.03,3.95,4.03,128609.0,
2024-07-11,4.17,4.26,4.11,4.21,381744.0,
2024-07-12,4.3,4.32,4.14,4.21,220776.0,
2024-07-15,4.21,4.28,4.17,4.19,148293.0,
2024-07-16,4.27,4.38,4.22,4.37,208807.0,
2024-07-17,4.36,4.37,4.27,4.31,118344.0,
2024-07-18,4.25,4.34,4.22,4.33,105645.0,
2024-07-19,4.32,4.36,4.28,4.35,98120.0,
2024-07-22,4.36,4.37,4.25,4.28,98434.0,
2024-07-23,4.26,4.35,4.25,4.27,85117.0,
2024-07-24,4.23,4.27,4.05,4.07,203652.0,
2024-07-25,4.1,4.1,3.94,4.04,163192.0,
2024-07-26,4.31,4.39,4.18,4.26,205355.0,
2024-07-29,4.28,4.42,4.21,4.4,246800.0,
2024-07-30,4.38,4.66,4.32,4.58,313435.0,
2024-07-31,4.51,4.71,4.51,4.68,285306.0,
2024-08-01,4.66,4.7,4.61,4.64,195724.0,
2024-08-02,4.61,4.66,4.53,4.54,128398.0,
2024-08-05,4.5,4.58,4.43,4.45,122437.0,
2024-08-06,4.48,4.54,4.44,4.5,101658.0,
2024-08-07,4.46,4.51,4.43,4.47,64316.0,
2024-08-08,4.45,4.49,4.41,4.46,58510.0,
2024-08-09,4.46,4.55,4.43,4.45,73464.0,
2024-08-12,4.57,4.62,4.38,4.41,172178.0,
2024-08-13,4.45,4.48,4.32,4.48,106676.0,
2024-08-14,4.46,4.48,4.34,4.37,68147.0,
2024-08-15,4.26,4.41,4.26,4.36,72474.0,
2024-08-16,4.38,4.38,4.27,4.28,56839.0,
2024-08-19,4.29,4.37,4.29,4.3,62279.0,
2024-08-20,4.29,4.31,4.22,4.24,66173.0,
2024-08-21,4.24,4.25,4.14,4.17,70072.0,
2024-08-22,4.15,4.19,4.08,4.1,68773.0,
2024-08-23,4.12,4.15,4.07,4.11,58207.0,
2024-08-26,4.19,4.3,4.11,4.22,88304.0,
2024-08-27,4.2,4.23,4.14,4.18,50662.0,
2024-08-28,4.18,4.28,4.16,4.21,69423.0,
2024-08-29,4.23,4.26,4.18,4.25,65508.0,
2024-08-30,4.27,4.35,4.21,4.3,91680.0,
2024-09-02,4.26,4.6,4.26,4.49,295304.0,
2024-09-03,4.47,4.51,4.38,4.42,138782.0,
2024-09-04,4.42,4.45,4.37,4.39,79815.0,
2024-09-05,4.37,4.47,4.37,4.46,76997.0,
2024-09-06,4.47,4.51,4.37,4.41,66200.0,
2024-09-09,4.38,4.43,4.34,4.37,68154.0,
2024-09-10,4.37,4.39,4.24,4.35,74644.0,
2024-09-11,4.32,4.37,4.27,4.32,52791.0,
2024-09-12,4.32,4.37,4.3,4.31,44026.0,
2024-09-13,4.33,4.4,4.3,4.35,69189.0,
