trade_date,open,high,low,close,volume,turnover_rate
2024-05-27,3.31,3.35,3.25,3.3,154811.0,
2024-05-28,3.29,3.29,3.21,3.22,161049.0,
2024-05-29,3.21,3.25,3.18,3.21,108552.0,
2024-05-30,3.18,3.21,3.17,3.18,101582.0,
2024-05-31,3.17,3.21,3.16,3.2,77491.0,
2024-06-03,3.19,3.2,3.07,3.09,156274.0,
2024-06-04,3.08,3.13,3.04,3.12,98945.0,
2024-06-05,3.12,3.12,3.04,3.05,92898.0,
2024-06-06,3.06,3.07,2.9,2.94,201503.0,
2024-06-07,2.96,3.04,2.95,3.03,126036.0,
2024-06-11,3.01,3.02,2.96,2.99,80752.0,
2024-06-12,2.99,3.05,2.98,3.05,77179.0,
2024-06-13,3.06,3.06,2.97,2.98,96447.0,
2024-06-14,2.97,3.01,2.96,3.0,59752.0,
2024-06-17,3.0,3.0,2.96,2.96,65273.0,
2024-06-18,2.97,3.01,2.97,3.0,61833.0,
2024-06-19,3.0,3.03,3.0,3.01,84807.0,
2024-06-20,3.02,3.02,2.92,2.94,96061.0,
2024-06-21,2.93,2.97,2.92,2.97,53713.0,
2024-06-24,2.95,2.95,2.85,2.86,102528.0,
2024-06-25,2.87,2.9,2.84,2.87,73616.0,
2024-06-26,2.85,2.92,2.81,2.91,92508.0,
2024-06-27,2.9,2.92,2.85,2.85,71313.0,
2024-06-28,2.85,2.93,2.84,2.88,86418.0,
2024-07-01,2.88,2.94,2.88,2.94,67005.0,
2024-07-02,2.94,3.0,2.92,2.99,85478.0,
2024-07-03,2.98,3.01,2.96,2.97,79419.0,
2024-07-04,2.98,2.98,2.88,2.89,80491.0,
2024-07-05,2.9,2.98,2.86,2.93,93508.0,
2024-07-08,2.92,2.92,2.84,2.85,70135.0,
2024-07-09,2.91,2.99,2.85,2.91,114430.0,
2024-07-10,2.96,3.07,2.96,2.99,197857.0,
2024-07-11,3.01,3.18,3.01,3.12,258844.0,
2024-07-12,3.08,3.2,3.08,3.08,249824.0,
2024-07-15,3.08,3.23,3.08,3.14,306097.0,
2024-07-16,3.1,3.28,3.02,3.21,394553.0,
2024-07-17,3.15,3.2,3.08,3.09,247379.0,
2024-07-18,3.04,3.41,3.0,3.41,485704.0,
2024-07-19,3.41,3.42,3.28,3.29,668241.0,
2024-07-22,3.26,3.57,3.2,3.37,621548.0,
2024-07-23,3.41,3.71,3.41,3.71,646791.0,
2024-07-24,3.43,3.58,3.33,3.33,739406.0,
2024-07-25,3.16,3.67,3.15,3.57,1047981.0,
2024-07-26,3.48,3.76,3.34,3.6,1043573.0,
2024-07-29,3.53,3.78,3.47,3.63,894917.0,
2024-07-30,3.61,3.87,3.44,3.86,1041545.0,
2024-07-31,3.84,4.25,3.79,3.9,1353789.0,
2024-08-01,3.68,4.0,3.59,3.83,1025441.0,
2024-08-02,3.73,3.8,3.6,3.64,728225.0,
2024-08-05,3.51,3.71,3.47,3.53,577724.0,
2024-08-06,3.42,3.47,3.17,3.19,805481.0,
