trade_date,open,high,low,close,volume,turnover_rate
2024-05-27,19.24,19.47,18.67,19.18,15365.0,
2024-05-28,19.13,19.92,18.85,19.29,16437.0,
2024-05-29,19.15,20.73,19.15,20.72,40563.0,
2024-05-30,20.35,20.38,19.76,19.86,32970.0,
2024-05-31,19.71,21.22,19.68,21.03,53561.0,
2024-06-03,20.92,22.42,20.3,20.41,59937.0,
2024-06-04,19.97,20.01,18.85,19.48,45154.0,
2024-06-05,19.2,19.2,18.17,18.17,29750.0,
2024-06-06,18.42,19.02,16.82,17.05,29662.0,
2024-06-07,18.21,18.25,17.47,17.92,22705.0,
2024-06-11,17.46,18.08,17.1,17.98,13888.0,
2024-06-12,17.98,18.92,17.98,18.49,15147.0,
2024-06-13,18.83,19.46,18.72,18.96,22378.0,
2024-06-14,18.68,19.12,18.68,18.84,15659.0,
2024-06-17,18.92,19.1,18.58,19.01,13625.0,
2024-06-18,19.1,19.67,18.86,19.53,17391.0,
2024-06-19,19.61,19.95,19.39,19.72,17780.0,
2024-06-20,19.54,19.9,19.13,19.2,16983.0,
2024-06-21,19.16,20.0,18.51,19.55,22384.0,
2024-06-24,19.16,19.91,18.65,18.93,25172.0,
2024-06-25,19.33,20.25,18.96,20.03,50044.0,
2024-06-26,20.02,21.0,19.06,20.91,64480.0,
2024-06-27,20.21,22.21,20.11,20.97,85841.0,
2024-06-28,20.26,21.74,19.82,21.0,62528.0,
2024-07-01,21.23,21.45,19.82,20.58,42542.0,
2024-07-02,20.5,20.95,20.01,20.38,32298.0,
2024-07-03,20.27,20.43,19.31,19.39,33161.0,
2024-07-04,19.54,20.12,18.73,18.81,29142.0,
2024-07-05,18.59,19.32,18.02,19.14,22858.0,
2024-07-08,18.75,19.21,18.39,18.44,15462.0,
2024-07-09,18.52,19.79,18.45,19.72,30088.0,
2024-07-10,19.55,19.74,19.12,19.18,19889.0,
2024-07-11,19.51,20.02,19.36,19.9,25852.0,
2024-07-12,19.81,20.0,19.57,19.67,18961.0,
2024-07-15,19.61,19.68,18.81,18.93,18175.0,
2024-07-16,19.14,19.14,18.59,19.05,15145.0,
2024-07-17,19.12,19.12,18.31,18.34,20105.0,
2024-07-18,18.21,18.21,17.4,17.82,16046.0,
2024-07-19,17.62,18.55,17.61,18.35,11688.0,
2024-07-22,18.44,18.76,18.32,18.66,8886.0,
2024-07-23,18.66,18.96,18.02,18.09,10766.0,
2024-07-24,18.08,19.21,17.83,18.31,22228.0,
2024-07-25,18.01,19.05,17.89,18.73,20317.0,
2024-07-26,20.71,20.71,18.97,19.17,30563.0,
2024-07-29,18.71,19.37,18.65,18.88,19868.0,
2024-07-30,18.54,18.89,18.53,18.61,13460.0,
2024-07-31,18.58,19.29,18.46,19.26,22004.0,
2024-08-01,19.35,19.48,19.13,19.26,16330.0,
2024-08-02,19.08,19.11,18.47,18.64,17160.0,
2024-08-05,18.46,18.74,17.71,17.71,14804.0,
2024-08-06,17.88,18.32,17.79,17.99,8400.0,
2024-08-07,17.99,18.46,17.98,18.27,10529.0,
2024-08-08,18.22,18.23,17.58,17.88,11104.0,
2024-08-09,18.15,18.15,17.81,17.81,5528.0,
2024-08-12,17.83,17.99,17.51,17.63,6276.0,
2024-08-13,17.69,17.99,17.5,17.94,5953.0,
2024-08-14,17.94,18.05,17.82,17.98,5503.0,
2024-08-15,18.0,18.19,17.78,18.06,7491.0,
2024-08-16,18.13,18.5,18.06,18.37,9286.0,
2024-08-19,18.41,18.41,17.85,17.92,8261.0,
2024-08-20,17.91,17.98,17.49,17.71,6755.0,
2024-08-21,17.7,17.92,17.52,17.92,5277.0,
2024-08-22,17.92,17.96,17.29,17.29,9070.0,
2024-08-23,17.39,17.57,16.91,17.26,5922.0,
2024-08-26,17.35,17.77,17.2,17.71,6899.0,
2024-08-27,17.71,17.77,17.18,17.23,7062.0,
2024-08-28,17.23,17.66,17.13,17.48,5638.0,
2024-08-29,17.5,17.91,17.21,17.86,6655.0,
2024-08-30,17.86,18.54,17.84,18.27,12629.0,
2024-09-02,18.27,18.56,18.15,18.18,10424.0,
2024-09-03,18.18,18.43,18.04,18.28,6009.0,
2024-09-04,18.11,18.38,18.06,18.23,5473.0,
2024-09-05,18.23,18.52,18.17,18.44,7474.0,
2024-09-06,18.51,18.61,17.93,17.93,6844.0,
2024-09-09,17.95,18.16,17.74,17.92,4307.0,
2024-09-10,17.85,18.17,17.72,18.16,4752.0,
2024-09-11,18.13,18.24,18.01,18.1,4876.0,
2024-09-12,18.1,18.31,17.79,17.79,3815.0,
2024-09-13,17.88,17.92,17.41,17.48,5601.0,
2024-09-18,17.55,17.63,17.03,17.33,6582.0,
2024-09-19,17.73,17.81,17.39,17.71,7601.0,
2024-09-20,17.73,17.81,17.5,17.72,6632.0,
2024-09-23,17.72,17.96,17.5,17.82,6451.0,
2024-09-24,17.86,18.46,17.68,18.43,11742.0,
2024-09-25,19.41,19.41,18.43,18.52,22841.0,
2024-09-26,18.41,18.82,18.4,18.8,16608.0,
2024-09-27,18.94,19.86,18.9,19.65,26537.0,
2024-09-30,20.33,22.44,19.72,22.36,54663.0,
2024-10-08,25.72,26.51,22.65,24.71,73431.0,
2024-10-09,23.86,23.86,21.38,21.41,47425.0,
2024-10-10,21.87,22.63,21.45,21.86,24724.0,
2024-10-11,21.87,21.99,20.59,20.96,21121.0,
2024-10-14,21.41,21.55,20.71,21.54,19077.0,
2024-10-15,21.47,22.08,21.19,21.24,17514.0,
2024-10-16,20.99,21.46,20.92,21.18,12502.0,
2024-10-17,21.39,21.78,21.21,21.22,15203.0,
2024-10-18,21.22,22.31,21.22,21.95,22857.0,
2024-10-21,22.09,24.41,22.03,24.41,69209.0,
2024-10-22,25.41,29.35,24.91,29.35,120937.0,
2024-10-23,29.36,30.71,27.37,27.51,201938.0,
2024-10-24,27.25,28.41,26.28,26.82,117014.0,
2024-10-25,26.09,26.91,25.59,26.49,85726.0,
2024-10-28,25.98,26.79,25.59,26.79,66296.0,
2024-10-29,26.52,26.7,25.36,25.51,52876.0,
2024-10-30,25.21,25.89,24.73,24.89,37978.0,
2024-10-31,25.03,25.71,24.89,25.39,38207.0,
2024-11-01,25.29,25.91,24.14,24.18,37830.0,
2024-11-04,24.43,25.57,24.22,25.34,28934.0,
2024-11-05,25.41,25.96,25.06,25.82,45049.0,
2024-11-06,25.99,26.13,25.3,25.47,39100.0,
2024-11-07,25.38,25.59,24.95,25.58,25848.0,
2024-11-08,25.73,27.83,25.6,26.97,78394.0,
2024-11-11,26.58,28.41,26.4,27.74,65351.0,
2024-11-12,27.75,27.75,26.01,26.26,46632.0,
2024-11-13,26.31,26.95,25.68,26.8,33097.0,
2024-11-14,26.65,27.0,25.42,25.52,24767.0,
2024-11-15,25.57,26.8,24.86,24.92,25741.0,
2024-11-18,25.02,25.18,23.1,23.35,29867.0,
2024-11-19,23.51,24.68,23.51,24.68,26038.0,
2024-11-20,24.71,25.14,24.47,25.02,19672.0,
2024-11-21,24.86,25.35,24.72,25.09,15901.0,
2024-11-22,25.21,25.41,24.02,24.08,18901.0,
2024-11-25,24.08,24.83,23.89,24.8,17482.0,
2024-11-26,24.71,25.04,24.02,24.12,14528.0,
2024-11-27,24.08,25.59,23.41,25.25,28017.0,
2024-11-28,25.56,26.37,25.25,25.5,41379.0,
2024-11-29,25.47,25.68,24.74,25.41,30521.0,
2024-12-02,25.43,25.79,25.29,25.65,20237.0,
2024-12-03,25.62,26.01,25.56,25.82,21807.0,
2024-12-04,25.89,26.68,25.59,25.83,41860.0,
2024-12-05,25.81,26.89,25.66,26.8,48269.0,
2024-12-06,26.71,27.54,26.37,26.48,50873.0,
2024-12-09,26.34,27.21,25.83,26.16,30606.0,
2024-12-10,26.86,27.07,26.43,26.75,39697.0,
2024-12-11,27.14,27.23,26.6,27.23,49043.0,
2024-12-12,26.98,27.21,26.41,26.55,28809.0,
2024-12-13,26.34,26.76,25.92,26.04,21030.0,
2024-12-16,26.07,26.6,25.75,25.98,16915.0,
2024-12-17,26.08,26.08,24.42,24.56,25327.0,
2024-12-18,24.61,24.9,23.77,24.48,16148.0,
2024-12-19,24.27,24.91,24.22,24.78,13732.0,
2024-12-20,24.9,25.91,24.79,25.72,22366.0,
2024-12-23,25.59,25.9,24.0,24.04,20821.0,
2024-12-24,24.16,24.6,23.72,24.22,11423.0,
2024-12-25,24.2,24.25,23.17,23.67,13296.0,
2024-12-26,23.54,24.59,23.44,24.39,13747.0,
2024-12-27,24.4,24.66,24.15,24.3,10922.0,
2024-12-30,23.97,24.24,23.23,23.81,11092.0,
2024-12-31,23.89,24.19,22.99,22.99,12365.0,
2025-01-02,22.99,23.29,22.05,22.29,14095.0,
2025-01-03,22.32,22.67,21.11,21.16,15421.0,
2025-01-06,21.27,21.41,20.33,21.04,9961.0,
2025-01-07,20.83,22.59,20.83,22.51,20272.0,
2025-01-08,22.47,22.57,21.32,22.08,15311.0,
2025-01-09,22.08,22.7,21.98,22.48,11427.0,
2025-01-10,22.48,22.77,21.8,21.8,15010.0,
2025-01-13,21.36,22.23,20.84,22.01,9820.0,
2025-01-14,22.23,23.23,22.12,23.21,17644.0,
2025-01-15,23.39,23.49,22.86,22.93,10827.0,
2025-01-16,23.19,23.48,22.72,23.16,13970.0,
2025-01-17,23.16,23.36,22.88,23.09,9127.0,
2025-01-20,23.38,23.66,22.99,23.58,10791.0,
2025-01-21,23.59,23.73,23.16,23.44,9760.0,
2025-01-22,23.25,23.43,22.87,23.0,9350.0,
2025-01-23,23.23,23.68,23.0,23.0,10017.0,
2025-01-24,23.0,23.51,22.85,23.27,9809.0,
2025-01-27,23.69,23.82,22.96,23.1,11106.0,
2025-02-05,24.11,24.21,23.27,23.78,14906.0,
2025-02-06,23.71,24.65,23.61,24.47,16780.0,
2025-02-07,24.46,24.99,24.16,24.39,19134.0,
2025-02-10,24.48,24.83,24.33,24.67,12342.0,
2025-02-11,24.67,24.88,24.37,24.54,11161.0,
2025-02-12,24.66,24.84,24.49,24.8,12701.0,
2025-02-13,24.72,24.8,24.26,24.26,11983.0,
2025-02-14,24.25,24.59,24.01,24.06,11380.0,
2025-02-17,24.08,24.75,24.08,24.64,15019.0,
2025-02-18,24.67,24.8,23.79,23.87,13915.0,
2025-02-19,23.87,24.79,23.82,24.71,17748.0,
2025-02-20,24.66,25.56,24.63,25.32,26301.0,
2025-02-21,25.32,25.66,25.14,25.33,22293.0,
2025-02-24,25.34,25.53,24.85,25.37,17071.0,
2025-02-25,25.08,25.7,24.95,25.47,19209.0,
2025-02-26,25.9,25.91,25.46,25.59,19322.0,
2025-02-27,25.61,30.77,25.61,30.77,163255.0,
2025-02-28,31.39,33.59,28.01,28.13,217475.0,
2025-03-03,27.93,29.36,26.32,27.38,137262.0,
2025-03-04,26.77,28.12,26.59,27.16,88636.0,
2025-03-05,27.11,27.79,26.8,27.59,82246.0,
2025-03-06,27.57,28.49,27.57,28.38,95398.0,
2025-03-07,28.06,28.99,27.73,28.15,70191.0,
2025-03-10,28.35,28.55,27.37,27.59,49528.0,
2025-03-11,27.06,27.42,26.71,27.38,43750.0,
2025-03-12,27.7,27.7,27.18,27.22,34799.0,
2025-03-13,27.11,27.19,26.0,26.45,41350.0,
2025-03-14,26.54,26.96,25.87,26.87,32170.0,
2025-03-17,26.93,27.34,26.55,27.3,35609.0,
2025-03-18,27.27,30.27,27.1,28.92,113015.0,
2025-03-19,28.91,30.39,28.87,29.12,116339.0,
2025-03-20,28.71,29.03,28.37,28.66,76732.0,
2025-03-21,28.41,28.6,27.43,27.48,48301.0,
2025-03-24,27.53,27.81,25.54,26.16,44003.0,
2025-03-25,26.16,26.34,25.38,25.78,27602.0,
2025-03-26,25.82,26.9,25.56,26.52,28045.0,
2025-03-27,26.52,26.52,25.61,25.89,23156.0,
2025-03-28,25.89,26.3,25.21,25.22,23232.0,
2025-03-31,24.88,25.17,24.13,24.96,26092.0,
2025-04-01,25.24,25.76,25.03,25.08,18084.0,
2025-04-02,25.11,25.78,24.99,25.46,18352.0,
2025-04-03,25.21,25.46,24.51,24.82,17262.0,
2025-04-07,22.88,23.57,19.8,19.8,37466.0,
2025-04-08,19.89,20.76,19.03,19.66,36399.0,
2025-04-09,19.42,20.39,17.52,20.11,37352.0,
2025-04-10,20.72,21.64,20.72,21.02,27425.0,
2025-04-11,21.04,21.61,20.77,21.38,20567.0,
2025-04-14,21.79,22.28,21.73,21.74,15777.0,
2025-04-15,21.74,21.98,21.56,21.84,15961.0,
2025-04-16,21.84,21.86,20.88,21.27,16979.0,
2025-04-17,21.26,21.91,21.0,21.57,16485.0,
2025-04-18,21.55,22.14,21.31,21.79,19922.0,
2025-04-21,21.64,22.59,21.63,22.42,24198.0,
2025-04-22,22.21,22.53,22.15,22.32,14526.0,
2025-04-23,22.56,23.16,22.43,23.01,18510.0,
2025-04-24,22.99,23.27,22.51,22.85,18723.0,
2025-04-25,23.06,23.11,22.71,22.92,13138.0,
2025-04-28,22.89,23.07,22.39,22.4,15947.0,
2025-04-29,22.34,23.45,22.34,23.21,26767.0,
2025-04-30,23.44,23.99,23.2,23.86,23367.0,
2025-05-06,24.08,24.52,24.07,24.52,17686.0,
2025-05-07,24.71,24.93,24.46,24.76,21751.0,
2025-05-08,24.87,29.38,24.77,27.51,120148.0,
2025-05-09,26.7,26.7,25.44,25.6,90674.0,
2025-05-12,25.59,26.39,25.52,26.09,56062.0,
2025-05-13,26.51,26.61,25.78,25.83,36084.0,
2025-05-14,26.11,26.93,25.88,26.49,60737.0,
2025-05-15,26.71,29.16,25.97,28.41,103941.0,
2025-05-16,28.12,32.49,27.48,30.51,173990.0,
2025-05-19,31.38,31.38,29.4,29.7,96416.0,
2025-05-20,29.52,30.07,28.32,29.81,74400.0,
2025-05-21,29.4,29.59,28.06,28.21,64909.0,
2025-05-22,28.11,28.21,27.02,27.05,61604.0,
2025-05-23,27.59,28.28,26.94,27.05,41446.0,
2025-05-26,27.16,27.61,27.06,27.38,26504.0,
2025-05-27,27.24,27.41,26.57,26.81,29766.0,
2025-05-28,26.86,27.15,26.37,26.47,21377.0,
2025-05-29,26.39,26.96,26.39,26.66,26104.0,
2025-05-30,26.71,26.71,25.49,25.51,34538.0,
2025-06-03,25.59,25.83,25.32,25.55,26990.0,
2025-06-04,25.62,25.8,25.51,25.74,20546.0,
2025-06-05,25.71,26.08,25.34,26.04,28414.0,
2025-06-06,25.82,25.99,25.49,25.82,19320.0,
2025-06-09,25.88,26.26,25.83,26.05,21524.0,
2025-06-10,26.07,26.2,25.02,25.46,33259.0,
2025-06-11,25.44,26.04,25.44,25.7,20712.0,
2025-06-12,25.58,26.1,25.36,26.03,23487.0,
2025-06-13,25.93,25.93,24.74,24.86,37477.0,
2025-06-16,24.88,25.38,24.75,25.14,18101.0,
2025-06-17,25.13,25.37,24.82,25.03,18547.0,
2025-06-18,24.86,25.15,24.61,25.15,16481.0,
2025-06-19,25.05,25.43,24.49,24.57,19900.0,
2025-06-20,24.65,25.0,24.33,24.54,15911.0,
2025-06-23,24.46,25.09,24.2,25.01,17036.0,
2025-06-24,25.02,25.82,25.02,25.78,22979.0,
2025-06-25,26.39,26.7,25.94,26.19,50529.0,
2025-06-26,26.44,26.5,26.02,26.1,36608.0,
2025-06-27,26.2,26.53,26.06,26.33,36021.0,
2025-06-30,26.35,26.8,26.35,26.73,37518.0,
2025-07-01,26.73,27.02,26.58,26.88,35620.0,
2025-07-02,26.63,26.9,26.32,26.64,30282.0,
2025-07-03,26.65,26.75,26.42,26.66,20933.0,
2025-07-04,26.66,26.7,26.2,26.28,22415.0,
2025-07-07,26.15,26.46,26.11,26.4,17335.0,
2025-07-08,26.4,27.09,26.25,27.07,35810.0,
2025-07-09,27.09,27.75,26.95,27.4,50837.0,
2025-07-10,27.36,27.37,26.72,27.0,32477.0,
2025-07-11,26.97,27.26,26.67,26.79,24689.0,
2025-07-14,26.7,27.16,26.6,27.05,19865.0,
2025-07-15,27.16,27.2,26.54,26.98,25016.0,
2025-07-16,26.96,27.2,26.7,27.05,21011.0,
2025-07-17,27.0,27.9,26.9,27.64,46019.0,
2025-07-18,27.76,27.77,27.31,27.66,28937.0,
2025-07-21,27.73,27.9,27.45,27.81,33128.0,
2025-07-22,27.7,27.88,27.37,27.78,38490.0,
2025-07-23,27.82,29.01,27.44,28.43,67160.0,
2025-07-24,29.03,32.4,28.32,30.28,177233.0,
2025-07-25,29.5,30.3,28.92,29.29,117348.0,
2025-07-28,29.8,30.93,29.4,30.65,114017.0,
2025-07-29,30.24,30.65,29.53,29.92,75411.0,
2025-07-30,29.64,29.79,28.35,28.62,68169.0,
2025-07-31,28.62,29.17,28.17,28.35,45141.0,
2025-08-01,28.48,28.65,28.22,28.61,32173.0,
2025-08-04,28.36,28.91,28.26,28.9,29638.0,
2025-08-05,29.12,29.68,28.91,29.6,45699.0,
2025-08-06,29.59,30.87,29.42,30.4,69732.0,
2025-08-07,30.26,30.77,30.04,30.41,57163.0,
2025-08-08,30.16,30.38,29.82,29.96,38031.0,
2025-08-11,30.01,30.57,29.9,30.41,39928.0,
2025-08-12,30.33,30.53,29.83,30.06,33697.0,
2025-08-13,30.11,30.35,29.86,30.26,35100.0,
2025-08-14,30.39,30.39,29.35,29.44,34513.0,
2025-08-15,29.76,31.3,29.55,31.09,74694.0,
2025-08-18,31.2,31.67,30.72,31.43,67328.0,
2025-08-19,31.4,32.83,31.05,32.32,97733.0,
2025-08-20,32.1,32.1,31.13,31.75,57371.0,
2025-08-21,31.75,32.75,30.96,31.71,60903.0,
2025-08-22,31.84,31.93,31.21,31.56,35420.0,
2025-08-25,31.56,31.83,30.98,31.29,45177.0,
2025-08-26,31.22,31.64,30.87,31.12,28269.0,
2025-08-27,31.48,32.22,30.66,30.66,53898.0,
2025-08-28,30.68,31.27,29.24,30.53,55695.0,
2025-08-29,30.5,30.5,29.5,29.89,40408.0,
2025-09-01,30.14,30.57,29.74,29.93,29930.0,
2025-09-02,30.01,30.12,28.33,29.56,48143.0,
2025-09-03,29.48,29.78,28.38,28.52,24558.0,
2025-09-04,28.49,29.67,28.49,29.06,40101.0,
2025-09-05,29.18,29.66,28.67,29.28,28493.0,
2025-09-08,29.27,29.58,29.02,29.46,27986.0,
2025-09-09,29.46,29.7,28.95,29.27,21031.0,
2025-09-10,29.25,29.57,28.9,28.99,17642.0,
2025-09-11,29.0,30.0,28.42,29.93,34174.0,
2025-09-12,29.92,29.98,29.31,29.31,20158.0,
2025-09-15,30.07,31.6,29.98,31.1,85840.0,
2025-09-16,30.99,33.35,30.38,33.03,110183.0,
2025-09-17,33.51,34.22,31.94,32.0,97005.0,
2025-09-18,31.63,32.11,30.39,30.71,61081.0,
2025-09-19,30.9,30.98,29.66,29.8,42434.0,
2025-09-22,29.99,30.79,29.75,30.52,32437.0,
2025-09-23,30.51,30.58,28.98,29.85,38100.0,
2025-09-24,29.7,29.96,29.3,29.91,24396.0,
2025-09-25,30.01,30.04,29.09,29.18,24558.0,
2025-09-26,29.15,29.27,28.44,28.45,25897.0,
2025-09-29,28.65,29.15,28.36,28.81,22401.0,
2025-09-30,28.67,28.96,28.36,28.38,23307.0,
2025-10-09,28.48,28.73,28.25,28.37,26116.0,
2025-10-10,28.33,28.67,28.12,28.21,23508.0,
2025-10-13,27.49,27.93,26.42,27.71,31206.0,
2025-10-14,27.97,28.04,26.97,27.14,27356.0,
2025-10-15,27.19,27.65,27.1,27.49,15510.0,
2025-10-16,27.55,27.62,26.88,26.94,19109.0,
2025-10-17,27.09,27.09,26.2,26.21,18630.0,
2025-10-20,26.22,27.17,26.22,27.06,20747.0,
2025-10-21,27.18,27.78,26.87,27.74,17868.0,
2025-10-22,27.84,28.56,27.54,28.06,23150.0,
2025-10-23,27.95,28.68,27.8,28.45,26697.0,
2025-10-24,28.45,29.68,28.4,29.39,30707.0,
2025-10-27,29.6,29.69,29.05,29.43,22528.0,
2025-10-28,29.43,29.63,29.23,29.51,18414.0,
2025-10-29,29.4,29.61,29.15,29.37,18386.0,
2025-10-30,29.53,29.53,28.75,28.79,16637.0,
2025-10-31,28.8,29.21,28.8,28.81,14076.0,
2025-11-03,28.81,29.15,28.68,28.99,14351.0,
2025-11-04,29.0,29.0,28.41,28.53,12443.0,
2025-11-05,28.53,28.77,28.23,28.45,16184.0,
2025-11-06,28.56,28.78,28.2,28.65,14183.0,
2025-11-07,28.7,28.7,28.12,28.2,14615.0,
2025-11-10,28.3,28.37,27.9,27.99,13589.0,
2025-11-11,28.12,28.3,27.9,28.07,14131.0,
2025-11-12,28.07,28.63,27.6,27.83,21064.0,
2025-11-13,28.02,28.02,27.6,27.93,13522.0,
2025-11-14,27.9,28.4,27.81,27.98,15401.0,
2025-11-17,28.28,28.98,28.0,28.64,20137.0,
2025-11-18,28.64,28.64,27.95,28.11,16772.0,
2025-11-19,28.19,28.21,26.93,26.99,19084.0,
2025-11-20,27.07,27.38,26.71,26.91,14546.0,
2025-11-21,26.91,27.09,25.58,25.73,22662.0,
2025-11-24,26.16,26.55,25.78,26.38,18246.0,
2025-11-25,26.5,26.98,26.39,26.57,12152.0,
2025-11-26,26.63,27.05,26.26,26.27,14307.0,
2025-11-27,26.43,26.92,26.27,26.75,11209.0,
2025-11-28,26.75,27.06,26.49,26.99,9769.0,
2025-12-01,27.07,27.75,27.02,27.34,15208.0,
2025-12-02,27.44,27.44,26.91,27.12,9439.0,
2025-12-03,27.05,27.31,26.63,26.81,10153.0,
2025-12-04,26.81,26.87,26.1,26.55,12038.0,
2025-12-05,26.49,27.16,26.36,27.03,13117.0,
2025-12-08,27.08,27.43,26.98,27.24,13699.0,
2025-12-09,27.24,27.59,27.01,27.29,12233.0,
2025-12-10,27.23,27.43,26.8,27.01,11992.0,
2025-12-11,27.09,27.2,26.25,26.32,13270.0,
2025-12-12,26.33,26.82,26.16,26.32,10943.0,
2025-12-15,26.06,26.31,25.84,25.86,15109.0,
2025-12-16,25.87,26.13,25.45,25.46,13941.0,
2025-12-17,25.46,25.79,24.91,25.59,15507.0,
