rank,symbol,name,signal_date,last_bar_date,sample_count,expected_return_5d,probability_up_5d,train_window_5d,ridge_alpha_5d,validation_mae_5d,validation_direction_accuracy_5d,expected_return_10d,probability_up_10d,train_window_10d,ridge_alpha_10d,validation_mae_10d,validation_direction_accuracy_10d
17,002787,华源控股,2026-07-14,2026-07-14,518,0.24613874672165198,0.9666666666666667,120,0.1,0.0967493730308956,0.75,0.4991960775146207,1.0,120,0.1,0.1385246444244986,0.8
18,002329,皇氏集团,2026-07-14,2026-07-14,518,0.24177629806444048,1.0,180,0.1,0.07862822704217355,0.6666666666666666,0.8612484152485925,1.0,120,0.1,0.09739873303617123,0.7666666666666667
19,600487,亨通光电,2026-07-14,2026-07-14,518,0.23743783903588128,0.9,120,10.0,0.12165286795115791,0.6333333333333333,0.6648179619154001,1.0,120,10.0,0.13900156116004955,0.7166666666666667
20,600707,彩虹股份,2026-07-14,2026-07-14,518,0.2320323346287155,0.9,180,10.0,0.13556487162480918,0.65,0.43536898240842314,1.0,180,10.0,0.16109940372032452,0.7833333333333333
21,000962,东方钽业,2026-07-14,2026-07-14,518,0.2239908590581559,0.9333333333333333,120,0.1,0.11590737681676183,0.7,0.6377697896573651,1.0,120,0.1,0.13470976497094098,0.7166666666666667
22,002655,共达电声,2026-07-14,2026-07-14,518,0.22149805132966605,0.9166666666666666,120,0.1,0.10455102060097539,0.8,0.2566207006965218,0.8666666666666667,120,1.0,0.14515990896983355,0.8166666666666667
23,000078,海王生物,2026-07-14,2026-07-14,517,0.22113388309652657,0.9833333333333333,120,0.1,0.12241112122548863,0.8166666666666667,-0.06505628689542876,0.26666666666666666,240,10.0,0.17061284199023596,0.8166666666666667
24,603823,百合花,2026-07-14,2026-07-14,518,0.21957607593073175,0.9833333333333333,120,1.0,0.10334665012921386,0.8666666666666667,-0.09201770593932895,0.5,120,0.1,0.1651242611621407,0.9833333333333333
25,603135,中重科技,2026-07-14,2026-07-14,518,0.21495936706215538,1.0,180,0.1,0.08457629105452505,0.6333333333333333,0.4092917674795765,1.0,240,0.1,0.08679714398035042,0.75
26,603183,建研院,2026-07-14,2026-07-14,518,0.20810317941738304,1.0,120,0.1,0.036855309551280954,0.7166666666666667,0.1001966039403433,0.9,120,1.0,0.04768133815761243,0.7833333333333333
27,603629,利通电子,2026-07-14,2026-07-14,518,0.1920199021954658,0.7666666666666667,180,10.0,0.18103320233113707,0.6833333333333333,0.3436959074861502,0.8,180,10.0,0.28522514317719516,0.6833333333333333
28,002579,中京电子,2026-07-14,2026-07-14,518,0.19061397526414137,0.8833333333333333,120,10.0,0.10825843738184977,0.6833333333333333,0.33072899941254386,0.9833333333333333,120,10.0,0.11395786831606346,0.7333333333333333
29,002859,洁美科技,2026-07-14,2026-07-14,508,0.1850375532841441,0.8666666666666667,120,1.0,0.10942008120250125,0.75,0.4321875439788872,1.0,120,0.1,0.12903059187899552,0.8666666666666667
30,002955,鸿合科技,2026-07-14,2026-07-14,514,0.18209056214452116,0.95,120,0.1,0.06299781648048673,0.6666666666666666,0.44274447602995237,1.0,120,10.0,0.07922246305245317,0.7333333333333333
31,603091,众鑫股份,2026-07-14,2026-07-14,437,0.1816246493105405,0.9166666666666666,120,0.1,0.06405993979886498,0.6666666666666666,0.25263805767692027,0.8833333333333333,120,1.0,0.10240999635424779,0.6833333333333333
32,600110,诺德股份,2026-07-14,2026-07-14,518,0.17943690990791722,0.95,240,0.1,0.09400342440409235,0.6,0.6371293497192183,1.0,120,0.1,0.1075176887562423,0.5833333333333334
33,002403,爱仕达,2026-07-14,2026-07-14,518,0.1771760957336549,1.0,120,1.0,0.0469470863240454,0.7333333333333333,0.2003860874428911,1.0,120,0.1,0.05450415938991726,0.7666666666666667
34,603065,宿迁联盛,2026-07-14,2026-07-14,518,0.1675343426934385,0.9333333333333333,180,10.0,0.0855777530083857,0.7333333333333333,-0.011670298739278176,0.5333333333333333,120,1.0,0.1830156164106891,0.6166666666666667
35,600552,凯盛科技,2026-07-14,2026-07-14,518,0.16606146316748105,0.8833333333333333,180,0.1,0.0967743309619886,0.7333333333333333,0.6478648828339347,1.0,120,0.1,0.10167991981851028,0.9
36,002935,天奥电子,2026-07-14,2026-07-14,518,0.1650258142180848,0.9833333333333333,180,0.1,0.05771371016219905,0.7166666666666667,0.24064584464933925,1.0,180,0.1,0.06527993007209244,0.7833333333333333
37,002491,通鼎互联,2026-07-14,2026-07-14,518,0.16378776824106703,0.8166666666666667,120,0.1,0.14448185035781025,0.5666666666666667,0.37753528293603306,0.95,120,10.0,0.18951374904262908,0.7833333333333333
38,002520,日发精机,2026-07-14,2026-07-14,518,0.163118906548611,0.9666666666666667,120,0.1,0.07137960056720109,0.6,0.07905464686951197,0.9833333333333333,120,10.0,0.10172768078597391,0.5
39,603186,华正新材,2026-07-14,2026-07-14,518,0.16195254141482404,0.7833333333333333,120,10.0,0.1517367702190109,0.6333333333333333,1.0156479351957615,1.0,120,0.1,0.19830419344479558,0.8333333333333334
40,600500,中化国际,2026-07-14,2026-07-14,509,0.16059353994206238,0.8833333333333333,120,1.0,0.11035849054240861,0.6833333333333333,0.31827321353267285,0.95,120,0.1,0.13171671494392953,0.8
41,603950,长源东谷,2026-07-14,2026-07-14,508,0.16054296416411779,0.9,240,10.0,0.10995910597218667,0.55,0.5191954810752768,1.0,240,0.1,0.1389982055063282,0.7
42,603006,联明股份,2026-07-14,2026-07-14,518,0.1604741950818038,0.9666666666666667,120,1.0,0.04064343973641431,0.7333333333333333,0.2526440902151167,1.0,120,0.1,0.04177433227116865,0.7166666666666667
43,002371,北方华创,2026-07-14,2026-07-14,518,0.15926466540300924,0.9666666666666667,120,1.0,0.07278280253798415,0.6,0.4193550494074323,1.0,120,0.1,0.08460723701757406,0.7833333333333333
44,603662,柯力传感,2026-07-14,2026-07-14,518,0.15845875738199486,0.95,120,0.1,0.06013298637874575,0.6666666666666666,0.11976942706495856,0.9833333333333333,180,1.0,0.06202790474167379,0.6833333333333333
45,002079,苏州固锝,2026-07-14,2026-07-14,518,0.15843577563455502,0.9666666666666667,120,1.0,0.05119828206601498,0.7166666666666667,0.6131214840404895,1.0,120,0.1,0.051038770172444736,0.8
