Daily Recommendations
字段说明(中文): 运行时间 | 交易日 | 股票代码 | 股票名称 | 筛选模式 | 总分 | 收盘价 | 止损价 | 止盈价 | 建议持股天数
Field Mapping(English): run_time | trade_date | symbol | name | threshold_mode | score_total | close | stop_loss_price | take_profit_price | suggested_holding_days

运行时间            | 交易日     | 代码   | 名称     | 模式   | 总分  | 收盘价 | 止损价 | 止盈价 | 建议持股天数
--------------------+------------+--------+----------+--------+-------+--------+--------+--------+-------------
2026-03-11 20:12:14 | 2026-03-12 | 002648 | 卫星化学 | normal | 88.17 | 27.93  | 25.67  | 32.43  | 3           
2026-03-12 20:50:00 | 2026-03-13 | 600075 | 新疆天业 | normal | 92.08 | 7.8    | 7.16   | 9.07   | 3           
2026-03-12 20:50:01 | 2026-03-13 | 002092 | 中泰化学 | normal | 90.24 | 8.5    | 7.66   | 10.16  | 3           
2026-03-12 20:50:01 | 2026-03-13 | 600873 | 梅花生物 | normal | 90.04 | 12.7   | 12.09  | 13.91  | 3           
2026-03-13 15:23:41 | 2026-03-13 | 600075 | 新疆天业 | normal | 92.08 | 7.8    | 7.16   | 9.07   | 3           
2026-03-13 15:23:41 | 2026-03-13 | 002092 | 中泰化学 | normal | 90.24 | 8.5    | 7.66   | 10.16  | 3           
2026-03-13 15:23:41 | 2026-03-13 | 600873 | 梅花生物 | normal | 90.04 | 12.7   | 12.09  | 13.91  | 3           
2026-03-15 11:39:06 | 2026-03-13 | 600075 | 新疆天业 | normal | 92.08 | 7.8    | 7.16   | 9.07   | 3           
2026-03-15 11:39:06 | 2026-03-13 | 002092 | 中泰化学 | normal | 90.24 | 8.5    | 7.66   | 10.16  | 3           
2026-03-15 11:39:06 | 2026-03-13 | 600873 | 梅花生物 | normal | 90.04 | 12.7   | 12.09  | 13.91  | 3           
2026-03-15 12:22:25 | 2026-03-16 | 002360 | 同德化工 | normal | 91.45 | 6.69   | 6.27   | 7.52   | 1           
2026-03-15 12:22:25 | 2026-03-16 | 603507 | 振江股份 | normal | 89.81 | 37.57  | 34.73  | 43.24  | 1           
2026-03-15 12:22:25 | 2026-03-16 | 601877 | 正泰电器 | normal | 89.57 | 38.33  | 35.38  | 44.21  | 1           
2026-03-16 09:13:28 | 2026-03-16 | 002360 | 同德化工 | normal | 91.45 | 6.69   | 6.27   | 7.52   | 1           
2026-03-16 09:13:28 | 2026-03-16 | 603507 | 振江股份 | normal | 89.81 | 37.57  | 34.73  | 43.24  | 1           
2026-03-16 09:13:28 | 2026-03-16 | 601877 | 正泰电器 | normal | 89.57 | 38.33  | 35.38  | 44.21  | 1           
